date,Up/Down,원/달러(저가),원/달러(종가), open _x, high _x, low _x, close _x,전일대비,증감률, volume _x, value ,MA(5),WMA(5),중심선, 상한선 ,하한선,%B,band width,전일대비.1,상승분,하락분,AU,AD,RS,RSI, 12EMA ,26EMA,MACD, MACD 시그널 ,%K,%D, open _y, high _y, low _y, close _y, volume _y, 환률 ,  원화환산  ,open,high,low,close,volume,소비자물가지수,등락,등락률,market_premium,price_usd_open,price_usd_high,price_usd_low,price_usd_close,price_usd_adj_close,nvt_golden_cross,stock_to_flow,stock_to_flow_reversion,puell_multiple,stablecoin_supply_ratio,mpi,outflow_total,outflow_top10,outflow_mean,outflow_mean_ma7,reserve_x,reserve_usd_x,reserve_y,reserve_usd_y,reserve_bi,reserve_usd_bi,FGI,reserve_co,reserve_usd_co,reserve_der,reserve_usd_der,reserve_spot,reserve_usd_spot,reserve_all,reserve_usd_all,reserve,reserve_usd
2018-02-01,Down,1068.5,1071.9,11439000,11490000,10011000,10070000,-1359000,-0.1189,22226,237000000000.0,11877400,11341133,12472700,14525823,10419576.71,-0.09,0.33,-1359000,0,1359000,261666.6667,642666.6667,0.407157676,28.93475857,12957482,15148589,-2191106,-1901065,1.657769036,16.04829518,10285.1,10335.0,8750.99,9224.52,33565,1072,9888685,10099.99,10166.25,8400.0,9014.23,38171.970030000004,247.87,1,1.34,51.312678600000005,14.25,14.25,12.05,13.11,13.11,-0.974257771,8419.788648,1.08688437,1.7846895630000001,66.50779752,0.001604595,1596.3743550000002,1546.358399,8.58265782,2.54063179,642450.9528,5879284961,642450.9528,5879284961,151633.7371,1387651378.0,30,631190.6195,5776237860,642450.9528,5879284961,1393822.705,12755340828,2036273.658,18634625789.0,642450.9527643091,5879284960.569098
2018-02-02,Down,1070.7,1079.7,10061000,10120000,7830000,9410000,-660000,-0.0655,52018,466000000000.0,11089000,10518667,12099600,14788820,9410380.158,0.0,0.44,-660000,0,660000,238000.0,645142.8571,0.36891054,26.94920738,12411716,14723508,-2311792,-1983211,27.92012723,20.67948803,9224.52,9250.0,8010.02,8873.03,49972,1080,9582872,9014.22,9090.08,7540.0,8787.52,52039.26808,247.87,1,1.34,42.72191101,11.89,13.1,11.64,12.0,12.0,-1.198092806,8019.846331000001,1.10322147,1.719646515,64.55209711,-0.615347365,946.3666548,890.8949016,6.26732884,3.326605667,661565.8893,5853314467,661565.8893,5853314467,150398.1722,1330672895.0,15,631669.5173,5588801332,661565.8893,5853314467,1398605.628,12374396391,2060171.517,18227710858.0,661565.8893296791,5853314466.828096
2018-02-03,Up,1070.7,1079.7,9410000,10200000,8400000,9520000,110000,0.0117,25406,236000000000.0,10411200,9995667,11706600,14630024,8783175.679,0.13,0.5,110000,110000,0,195333.3333,673166.6667,0.290170834,22.49088467,11966837,14338063,-2371226,-2060814,32.96274625,20.84688084,8873.03,9473.01,8229.0,9199.96,28725,1080,9935957,8787.52,9499.0,8115.48,9240.0,23700.985090000002,247.87,1,1.34,46.18835378666667,11.58,12.44,10.96,11.35,11.35,-0.999547972,8528.431542,1.06725427,1.583933544,67.25673783,-0.947008113,145.3674097,122.51856240000001,0.68569533,3.184919996,659549.6535,6003224244,659549.6535,6003224244,149015.1937,1356337038.0,40,631970.2084,5752195997,659549.6535,6003224244,1397086.2230000002,12716285790,2056635.8769999999,18719510034.0,659549.6535006891,6003224243.911539
2018-02-04,Down,1070.7,1079.7,9524000,10158000,8765000,8900000,-620000,-0.0651,18781,178000000000.0,9865800,9491933,11299300,14522983,8075617.255,0.13,0.57,-620000,0,620000,195333.3333,760333.3333,0.256904866,20.43948378,11495016,13935244,-2440228,-2136697,26.28992629,29.05759992,9199.96,9368.0,7930.0,8184.81,32014,1080,8839595,9227.8,9350.0,7859.0,8167.91,24062.181959999998,247.87,1,1.34,49.654796563333335,11.270000000000001,11.78,10.28,10.700000000000001,10.700000000000001,-1.1219994979999999,7571.180807,1.08573883,1.6933663769999998,59.56449053,-0.495009694,1653.312875,1625.669332,5.13451203,3.639218969,681863.9489,5605143266,681863.9489,5605143266,144085.2127,1184427276.0,24,632632.5583,5200445235,681863.9489,5605143266,1394810.2240000002,11465793353,2076674.1730000002,17070936619.0,681863.9489304092,5605143265.991366
2018-02-05,Down,1087.6,1088.5,8900000,9250000,7715000,7832000,-1068000,-0.12,20710,176000000000.0,9146400,8814000,10794900,14426556,7163243.688999999,0.09,0.67,-1068000,0,1068000,281000.0,804285.7143,0.34937833,25.89179939,10931475,13483151,-2551677,-2219693,3.099337748,20.78400343,8179.99,8382.8,6625.0,6939.99,63403,1089,7557649,8167.9,8349.16,6425.75,6905.19,59578.698220000006,247.87,1,1.34,53.12123934,10.96,11.12,9.6,10.05,10.05,-1.508321526,7285.703698,0.9511106,1.577574946,50.40168467,-0.850114645,174.7745697,126.96872990000001,0.69354988,3.528467496,701178.4092,4858822798,701178.4092,4858822798,139922.2262,969592465.4,11,636265.001,4409004687,701178.4092,4858822798,1398035.1840000001,9687698785,2099213.5930000003,14546521583.0,701178.4091652491,4858822798.094686
2018-02-06,Up,1088.4,1091.5,7831000,8698000,6620000,8642000,810000,0.1034,44456,335000000000.0,8860800,8645867,10369100,13911009,6827191.198,0.26,0.68,810000,810000,0,460000.0,804285.7143,0.571936057,36.38418079,10579248,13124548,-2545300,-2284814,56.48044693,28.62323699,6939.63,7878.0,6000.01,7652.14,100202,1092,8356137,6905.2,7948.89,5873.0,7688.46,91895.11063,247.87,1,1.34,68.86220686,10.15,12.75,10.0,12.31,12.31,-2.183417254,7929.559904000001,0.98350509,1.293282482,55.99384401,-0.7921044770000001,314.3379171,253.85121719999998,1.53335569,3.465073116,713076.4040000001,5561113519,713076.4040000001,5561113519,140331.9541,1094415581.0,8,636202.1171,4961589214,713076.4040000001,5561113519,1398164.7480000001,10903954809,2111241.152,16465068328.0,713076.4040281391,5561113519.3695
2018-02-07,Down,1079.5,1086.6,8646000,9199000,7990000,8387000,-255000,-0.0295,33928,294000000000.0,8656200,8487933,9872600,12966381,6778819.116,0.26,0.63,-255000,0,255000,460000.0,777428.5714,0.59169423,37.17386285,10241979,12773618,-2531639,-2334179,49.3575419,36.31244219,7655.02,8476.0,7150.01,7599.0,60778,1087,8260113,7688.47,8650.0,7212.82,7575.75,50916.5789,247.87,1,1.34,90.10840883,13.1,14.4,13.05,13.69,13.69,-1.6932055519999998,9561.462295000001,0.79940936,1.234909688,55.30268224,-0.264701165,1598.8446210000002,1569.064386,12.490973599999998,5.055439027,709512.6482,5423175890,709512.6482,5423175890,139288.2148,1064652603.0,36,638268.3898,4878618799,709512.6482,5423175890,1401949.553,10715832949,2111462.201,16139008840.0,709512.6481716591,5423175890.334661
2018-02-08,Up,1085.3,1087.9,8410000,9690000,8410000,9480000,1093000,0.1303,38114,351000000000.0,8648200,8762533,9529700,11869555,7189844.782000001,0.49,0.49,1093000,1093000,0,671000.0,693333.3333,0.967788462,49.18152944,10124751,12529646,-2404895,-2348322,80.83663086,62.22487323,7599.0,7844.0,7572.09,7784.02,1522,1088,8469014,7575.76,8625.0,7550.0,8218.1,31649.576589999997,247.87,1,1.34,78.36768942,14.66,14.95,13.76,13.945,13.945,-1.4889118959999998,10292.34491,0.79840115,1.164798378,60.04417283,-0.843756443,390.04247319999996,374.9923473,3.64525676,4.3500960189999995,709088.9812,5826881976,709088.9812,5826881976,139872.8133,1149393654.0,30,640700.9187,5264908543,709088.9812,5826881976,1405915.009,11552994113,2115003.99,17379876089.0,709088.9812085791,5826881975.963002
2018-02-09,Up,1089.0,1092.1,9479000,9934000,9041000,9929000,449000,0.0474,29459,277000000000.0,8854000,9189467,9359900,11274033,7445767.413,0.65,0.41,449000,449000,0,615500.0,792400.0,0.776754165,43.71759358,10094636,12337006,-2242370,-2327132,99.84912492,76.68109923,7789.9,8738.0,7789.9,8683.92,20483,1092,9482841,8218.07,8700.0,7750.0,8671.01,27553.94163,247.87,1,1.34,73.88907587,14.6,14.67,13.54,14.34,14.34,-0.925842745,9988.386545000001,0.8700848,1.206376286,63.26999133,-0.83448827,244.4935266,225.07583739999998,1.6746131999999998,3.693993784,692927.0125,6022050814,692927.0125,6022050814,140011.0344,1216799964.0,44,638928.0197,5552759428,692927.0125,6022050814,1401676.755,12181612913,2094603.767,18203663727.0,692927.0125002691,6022050814.370987
2018-02-10,Up,1089.0,1092.1,9929000,10656000,9475000,9959000,30000,0.003,33057,335000000000.0,9279400,9557800,9212900,10630139,7795661.149,0.76,0.31,30000,30000,0,498400.0,650750.0,0.7658855170000001,43.371187400000004,10073769,12160857,-2087089,-2279123,82.73042616,87.80539398,8683.93,9065.78,8120.0,8533.98,49382,1092,9319106,8671.0,9090.0,8155.0,8547.49,24910.69249,247.87,1,1.34,74.57570750666666,14.621666666666666,14.796666666666667,13.816666666666666,14.516666666666666,14.516666666666666,-0.85462375,9430.59569,0.90544227,1.319419533,62.30525599,-1.0558574840000001,111.69749650000001,107.4453814,1.25502805,3.77532703,681544.5755,5819613714,681544.5755,5819613714,136131.9031,1162411262.0,54,638893.2272,5455419822,681544.5755,5819613714,1409534.751,12035819901,2091079.326,17855433615.0,681544.5754732891,5819613713.72585
